baggage_tag,route_type,transfer_count,baggage_volume,route_distance_km,mishandled,complexity_score,distance_group
BG00079,Domestic,3,198,1333,0.0,3999,Short
BG00080,International,1,299,1898,0.0,1898,Short
BG00081,International,1,134,2088,0.0,2088,Medium
BG00082,Domestic,0,155,3242,0.0,0,Medium
BG00083,Domestic,3,441,648,0.0,1944,Short
BG00084,Domestic,3,278,7665,0.0,22995,Long
BG00085,International,2,393,5000,0.0,10000,Medium
BG00086,Domestic,0,217,1022,0.0,0,Short
BG00087,Domestic,3,114,5645,0.0,16935,Long
BG00088,Domestic,2,238,2466,0.0,4932,Medium
BG00089,Domestic,1,362,7752,0.0,7752,Long
BG00090,Domestic,2,364,8068,0.0,16136,Long
BG00091,Domestic,3,303,923,0.0,2769,Short
BG00092,Domestic,1,326,3314,0.0,3314,Medium
BG00093,Domestic,3,358,8137,0.0,24411,Long
BG00094,International,1,413,4405,0.0,4405,Medium
BG00095,Domestic,0,289,3474,0.0,0,Medium
BG00096,International,1,91,4090,0.0,4090,Medium
BG00097,International,0,213,5097,0.0,0,Long
BG00098,Domestic,3,316,3937,0.0,11811,Medium
BG00099,Domestic,1,439,2150,0.0,2150,Medium
BG00100,Domestic,3,143,686,1.0,2058,Short
BG00101,International,1,228,8329,0.0,8329,Long
BG00102,Domestic,3,252,6598,0.0,19794,Long
BG00103,Domestic,3,235,5875,1.0,17625,Long
BG00104,International,0,422,452,1.0,0,Short
BG00105,Domestic,3,151,7347,0.0,22041,Long
BG00106,Domestic,0,352,5641,0.0,0,Long
BG00107,Domestic,3,233,900,0.0,2700,Short
BG00108,International,2,225,1063,0.0,2126,Short
BG00109,Domestic,3,279,1168,,3504,Short
BG00110,Domestic,3,410,572,0.0,1716,Short
BG00111,Domestic,3,131,3005,0.0,9015,Medium
BG00112,International,3,420,7086,0.0,21258,Long
BG00113,Domestic,0,161,7319,0.0,0,Long
BG00114,Domestic,0,89,4912,0.0,0,Medium
BG00115,Domestic,2,418,7356,0.0,14712,Long
BG00116,International,3,413,6576,0.0,19728,Long
BG00117,Domestic,1,230,6584,0.0,6584,Long
BG00118,International,0,229,5564,0.0,0,Long
BG00119,Domestic,0,446,7270,1.0,0,Long
BG00120,Domestic,0,406,8083,0.0,0,Long
